ID;English;EnglishDescription;Español;EspañolDescripción;
chars_1;a;N/A;a;N/A;
chars_2;b;N/A;b;N/A;
chars_3;c;N/A;c;N/A;
chars_4;d;N/A;d;N/A;
chars_5;e;N/A;e;N/A;
chars_6;f;N/A;f;N/A;
chars_7;g;N/A;g;N/A;
chars_8;h;N/A;h;N/A;
chars_9;i;N/A;i;N/A;
chars_10;j;N/A;j;N/A;
chars_11;k;N/A;k;N/A;
chars_12;l;N/A;l;N/A;
chars_13;m;N/A;m;N/A;
chars_14;n;N/A;n;N/A;
chars_15;n;N/A;n;N/A;
chars_16;o;N/A;o;N/A;
chars_17;p;N/A;p;N/A;
chars_18;q;N/A;q;N/A;
chars_19;r;N/A;r;N/A;
chars_20;s;N/A;s;N/A;
chars_21;t;N/A;t;N/A;
chars_22;u;N/A;u;N/A;
chars_23;v;N/A;v;N/A;
chars_24;w;N/A;w;N/A;
chars_25;x;N/A;x;N/A;
chars_26;y;N/A;y;N/A;
chars_27;z;N/A;z;N/A;
chars_28;z;N/A;z;N/A;
chars_29;z;N/A;z;N/A;
chars_30;z;N/A;z;N/A;
