ID;English;EnglishDescription;Español;EspañolDescripción;
home_scene_button_play;Play;N/A;Jugar;N/A;
home_scene_button_options;Options;N/A;Opciones;N/A;
home_scene_button_credits; Credits;N/A;Creditos;N/A;
home_scene_button_exit;Exit;N/A;Salir;N/A;
home_scene_menu_slots_no_data;No data;N/A;Sin datos;N/A;
home_scene_menu_slots_play_time;Play time:;N/A;Tiempo jugado:;N/A;
home_scene_menu_slots_main_character;Main character:;N/A;Personaje principal:;N/A;
home_scene_menu_slots_level;Level:;N/A;Nivel:;N/A;
home_scene_menu_slots_current_zone;Current zone:;N/A;Zona actual:;N/A;
home_scene_menu_create_character_name_character_title;Character name;N/A;Nombre del personaje;N/A;
home_scene_menu_create_character_name_character_placeholder;Enter name...;N/A;Digita el nombre...;N/A;
options_scene_title;Settings;N/A;Opciones;N/A;
options_scene_button_home;Home;N/A;Inicio;N/A;
options_scene_button_back;Back;N/A;Atras;N/A;
options_scene_button_display;Display;N/A;Pantalla;N/A;
options_scene_button_volume;Volume;N/A;Volumen;N/A;
options_scene_button_controls;Controls;N/A;Controles;N/A;
options_scene_menu_display_resolution;Resolution;N/A;Resolución;N/A;
options_scene_menu_display_window_mode;Window Mode;N/A;Tipo de ventana;N/A;
options_scene_menu_display_full_screen;Full screen;N/A;Pantalla completa;N/A;
options_scene_menu_display_window;Window;N/A;Ventana;N/A;
options_scene_menu_display_language;Language;N/A;Lenguaje;N/A;
options_scene_menu_display_mute;Mute;N/A;Silenciar;N/A;
credits_scene_title;Credits;N/A;Creditos;N/A;
credits_scene_button_back;Back;N/A;Atrás;N/A;
credits_scene_team;Team;N/A;Equipo;N/A;
credits_scene_role_game_director;Gamme director;N/A;Director de juego;N/A;
credits_scene_role_lead_artist;Lead artist;N/A;Director de arte;N/A;
credits_scene_role_lead_programmer;Lead programmer;N/A;Director de programación;N/A;
game_scene_menu_characters_selector_title;to dispatch;N/A;por selecionar;N/A;
game_scene_menu_round_state_start;Battle start!;N/A;¡Comienza la batalla!;N/A;
game_scene_menu_round_state_player_turn;Player turn!;N/A;¡Turno del jugador!;N/A;
game_scene_menu_round_state_enemy_turn;Enemy turn!;N/A;¡Turno del enemigo!;N/A;
game_scene_menu_character_actions_button_attack;Attack;N/A;Atacar;N/A;
game_scene_menu_character_actions_button_skills;Skills;N/A;Habilidades;N/A;
game_scene_menu_character_actions_button_defend;Defend;N/A;Defender;N/A;
game_scene_menu_character_actions_button_lift;Lift;N/A;Levantar;N/A;
game_scene_menu_character_actions_button_throw;Throw;N/A;Lanzar;N/A;
game_scene_menu_character_actions_button_item;Item;N/A;Objeto;N/A;
game_scene_menu_character_general_actions_button_execute;Execute;N/A;Ejecutar;N/A;
game_scene_menu_character_general_actions_button_end_turn;End turn;N/A;Terminar turno;N/A;
game_scene_menu_character_general_actions_button_characters;Characters;N/A;Personajes;N/A;
game_scene_menu_character_general_actions_button_bonus;Bonus;N/A;Bonificación;N/A;
game_scene_menu_all_characters_title;Characters;N/A;Personajes;N/A;
game_scene_menu_lift_characters_title;Characters;N/A;Personajes;N/A;
game_scene_menu_attack_characters_title;Characters;N/A;Personajes;N/A;
game_scene_menu_character_items_bag_title;Bag;N/A;Bolsa;N/A;
game_scene_menu_character_items_gear_title;Gear;N/A;Equipado;N/A;
game_scene_menu_throw_character_height;Height;N/A;Altura;N/A;
game_scene_menu_throw_character_distance;Distance;N/A;Distancia;N/A;
game_scene_menu_character_info_aptitude;Aptitude;N/A;Aptitud;N/A;
game_scene_menu_character_info_items;Items;N/A;Items;N/A;
game_scene_menu_character_info_skills;Skills;N/A;Habilidades;N/A;
game_scene_menu_skill_select_skill_title;Skills;N/A;Habilidades;N/A;
game_scene_menu_skill_name_skill;Name;N/A;Nombre;N/A;
game_scene_menu_skill_select_character;Select character;N/A;Seleccionar personaje;N/A;
